,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,lang
868,1505637814469333004,1505637814469333004,1647807003000.0,2022-03-20 20:10:03,+0000,,"Trending, Pawang Hujan MotoGP Mandalika Ungkap Bayaran dari MGPA/ITDC  https://t.co/VRq1FSGp9G",in,[],[],1210168110,1210168110,2020Berita,Tiada Hari Tanpa Berita,7,20,https://twitter.com/2020Berita/status/1505637814469333004,['https://cikalnews.com/2022/03/21/trending-pawang-hujan-motogp-mandalika-ungkap-bayaran-dari-mgpa-itdc/'],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
869,1505637552748843009,1505637552748843009,1647806940000.0,2022-03-20 20:09:00,+0000,,Hujan di Mandalika untuk keseimbangan. Bila aspal terlalu panas akan sangat berbahaya untuk keselamatan Rider .,in,[],[],545697681,545697681,cimbulpamungkas,cimbulePanembah,7,20,https://twitter.com/cimbulpamungkas/status/1505637552748843009,[],[],0,,False,0,0,0,https://twitter.com/Rizmaya__/status/1505495150679969793,Mandalika,,,,,,,[],,,,,id
870,1505637037973536769,1505637037973536769,1647806817000.0,2022-03-20 20:06:57,+0000,,#IndonesianGP sudah selesai. Terima kasih untuk panitia dan seluruh tim Dorna #MotoGP atas kerja kerasnya. Sampai bertemu kembali di Mandalika.,in,"['indonesiangp', 'motogp']",[],83528520,83528520,GilangPambudhi,Gilang Pambudhi,7,20,https://twitter.com/GilangPambudhi/status/1505637037973536769,[],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
871,1505636922336571392,1505633440921661442,1647806790000.0,2022-03-20 20:06:30,+0000,,"Hanya pengkhianat, tidak suka bangsanya maju Dan setiap masa itu pasti selalu ada para pengkhianat2 itu   Teriak ""klenik memalukan di Mandalika""  Tetapi dialah orang yg tidak punya malu mencemooh bangsanya sendiri. Ini Nusantara dgn beragam kearifan lokalnya, Jati diri bangsa🇮🇩  https://t.co/qivjP24gQj",in,[],[],1282321029826637830,1282321029826637830,SekarJayanti07,Jayanti,7,20,https://twitter.com/SekarJayanti07/status/1505636922336571392,[],['https://pbs.twimg.com/media/FOUYy25VgAIfxjz.jpg'],1,https://pbs.twimg.com/media/FOUYy25VgAIfxjz.jpg,False,8,1,0,,Mandalika,,,,,,,[],,,,,id
874,1505636152149422080,1505636152149422080,1647806606000.0,2022-03-20 20:03:26,+0000,,"Saking hype abis nya Mandalika, pw hujan dan moto GP . Sampe kelupaan Indonesia ada maaalrud Amien.",in,[],[],1090840012680130560,1090840012680130560,bebenyittalks,empatmendatar,7,20,https://twitter.com/bebenyittalks/status/1505636152149422080,[],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
875,1505636069953314820,1505551749926465540,1647806587000.0,2022-03-20 20:03:07,+0000,,"@VIVAcoid Sependapat!  Yang saya tahu, tidak ada permasalahan mengenai pelunasan pembayaran lahan milik mayarakat yang dipakai untuk  pembangunan Sirkuit Sentul.  Berbeda dengan Mandalika.  Cc: @ridwankamil",in,[],[],908668114216271873,908668114216271873,daemon_ihsan,Ihsan Daemon,7,20,https://twitter.com/daemon_ihsan/status/1505636069953314820,[],[],0,,False,0,0,0,,Mandalika,,,,,,,"[{'screen_name': 'VIVAcoid', 'name': 'VivaCoid', 'id': '41730943'}]",,,,,id
880,1505635291553480706,1505635291553480706,1647806401000.0,2022-03-20 20:00:01,+0000,,"Waduh! Momen Pawang Hujan Beraksi di Tengah Sirkuit Mandalika, Netizen: Yuk Bisa Yuk  Baca selengkapnya disini  https://t.co/dIJlBalmiT  #mataindonesia #pawanghujan #motogpmandalika",in,"['mataindonesia', 'pawanghujan', 'motogpmandalika']",[],1040449533631651840,1040449533631651840,matamilenialID,Mata Milenial Indonesia,7,20,https://twitter.com/matamilenialID/status/1505635291553480706,['https://bit.ly/36zFbqY'],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
881,1505635030290239492,1505635030290239492,1647806339000.0,2022-03-20 19:58:59,+0000,,Sukses👍👍👍 dan sekarang sirkut Mandalika lebih di bagusin lagi..,in,[],[],1485425680167092224,1485425680167092224,Ajialam88,Aji,7,19,https://twitter.com/Ajialam88/status/1505635030290239492,[],[],0,,False,0,0,0,https://twitter.com/lucywiryono/status/1505551462918623234,Mandalika,,,,,,,[],,,,,id
882,1505634988846620672,1505634988846620672,1647806329000.0,2022-03-20 19:58:49,+0000,,"Kalo cuman hidup hewan juga hidup kalo cuman berkembang biak semua yang bernyawa juga berkembang biak tapi tidak semua punya cinta,  rasa,  komitmen,  kepedulian,  tanggung jawab, malu dll.  Dah gitu aja #mandalika",in,['mandalika'],[],3319541982,3319541982,alan_kurniyawan,Alan_kurniawan,7,19,https://twitter.com/alan_kurniyawan/status/1505634988846620672,[],[],0,,False,0,1,0,,Mandalika,,,,,,,[],,,,,id
883,1505634868793069569,1505634868793069569,1647806300000.0,2022-03-20 19:58:20,+0000,,ujan di mandalika keknya digeser ke jember deh sama mba rara,in,[],[],271441620,271441620,svaneng,𝐬𝐯𝐚🦋,7,19,https://twitter.com/svaneng/status/1505634868793069569,[],[],0,,False,5,1,0,,Mandalika,,,,,,,[],,,,,id
884,1505634761418571781,1505634761418571781,1647806275000.0,2022-03-20 19:57:55,+0000,,"Orang Jawa (Indonesia) jangan sampe hilang jiwa Jawanya ( Indonesia)  Syirik di dalam hati, bukan di lihat dari perbuatan.  Hormatilah cara Agama lain berdoa. Semua Agama memiliki cara masing masing untuk Berdoa dan Menghamba.  Dorna mandalika hujan mbak rara tidak memalukan",in,[],[],1261230924756185090,1261230924756185090,Boolomi1,Sadewa,7,19,https://twitter.com/Boolomi1/status/1505634761418571781,[],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
885,1505634372971819011,1505634372971819011,1647806182000.0,2022-03-20 19:56:22,+0000,,Mandalika ni betul betul tepi laut..bukanlah tempat ideal sgt..angin kuat..lepas tu skru motor senang karat.,in,[],[],1827685765,1827685765,BapakDiaLaaa,t ^..^,7,19,https://twitter.com/BapakDiaLaaa/status/1505634372971819011,[],[],0,,False,0,0,0,https://twitter.com/SPOTVMY/status/1505483906002259970,Mandalika,,,,,,,[],,,,,id
886,1505633907299196928,1505466641810812934,1647806071000.0,2022-03-20 19:54:31,+0000,,"@Me_her11 Kenapa harus memalukan??bagian dari kearifan lokal knp harus jadi memalukan??Indonesia udah kenal hal begini dr lama jd gk ada yg memalukan,,adanya event motoGP di Mandalika sudah membanggakan, soal pawang hujan kok dipermasalahkan 😅",in,[],[],1469341907037745155,1469341907037745155,DikalaHujan45,Dikala Hujan,7,19,https://twitter.com/DikalaHujan45/status/1505633907299196928,[],[],0,,False,0,0,0,,Mandalika,,,,,,,"[{'screen_name': 'Me_her11', 'name': 'Maher', 'id': '1282640753567518720'}]",,,,,id
887,1505633820506267650,1505633820506267650,1647806050000.0,2022-03-20 19:54:10,+0000,,Start balapan MotoGP Mandalika sempat tertunda satu jam karena hujan lebat. Fabio Quartararo pun menyibukkan diri dengan berbagai kegiatan.  https://t.co/LoRp7dJSdH,in,[],[],69183155,69183155,detikcom,detikcom,7,19,https://twitter.com/detikcom/status/1505633820506267650,['https://sport.detik.com/moto-gp/d-5992724/quartararo-saat-menunggu-hujan-reda-bercanda-sampai-menelepon-keluarga?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=Twitter#Echobox=1647797930'],[],0,,False,9,1,0,,Mandalika,,,,,,,[],,,,,id
889,1505632677549920257,1505632677549920257,1647805778000.0,2022-03-20 19:49:38,+0000,,Ini gue rasa hujan mandalika dialihin ke sini dah. Tiba-tiba ujan mulu padahal keknya tadi forecastingnya kagak ujan wkwkwk,in,[],[],897528749234593792,897528749234593792,sanitydose,Ha-Ye,7,19,https://twitter.com/sanitydose/status/1505632677549920257,[],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
891,1505632587305259009,1505632584855818242,1647805756000.0,2022-03-20 19:49:16,+0000,,"Mandalika.. Serkuitnya punya indonesia muncul dampak sebnarnya sdh terlihat si dimna secra tidak langsung mempromosikan bagian indonesia selain bali, raja ampat, dll banyak raider dunia yang mempromosikan wisata, budaya, kuliner lokal lombok kepada dunia tanpa mengeluarkan biaya",in,[],[],1498346302458920961,1498346302458920961,ozakmalik,Abdul Razak,7,19,https://twitter.com/ozakmalik/status/1505632587305259009,[],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
893,1505632013335683073,1505508884315877376,1647805619000.0,2022-03-20 19:46:59,+0000,,@Bestia23 Pembalap yg mewakili Indonesia di ajang MotoGP Mandalika... sirkuit mandalika rumah nya @Bestia23  👍👍👍👍👍👍👍👍,in,[],[],1350917154,1350917154,Minang_cyber,PRESIDEN SPANYOL🇲🇨🇵🇸🇲🇾🇹🇷,7,19,https://twitter.com/Minang_cyber/status/1505632013335683073,[],[],0,,False,0,0,0,,Mandalika,,,,,,,"[{'screen_name': 'Bestia23', 'name': 'Enea Bastianini', 'id': '540764694'}]",,,,,id
894,1505631537433231365,1505444909456801803,1647805506000.0,2022-03-20 19:45:06,+0000,,@akutakadadua @RudiCarlos72 @Oshiiiiiinnn_50 @MotoGP Ada dilokasi mandalika?? Ato cuma bengong dirumah???,in,[],[],2834690022,2834690022,arirang206,"Lawar Barak, PA.Ud, TK.Neg, S.MP, S.MA, S.Stu",7,19,https://twitter.com/arirang206/status/1505631537433231365,[],[],0,,False,0,0,0,,Mandalika,,,,,,,"[{'screen_name': 'akutakadadua', 'name': 'Dino ulus', 'id': '1294576706884231168'}, {'screen_name': 'RudiCarlos72', 'name': 'Rudi Photo', 'id': '829892616988733440'}, {'screen_name': 'Oshiiiiiinnn_50', 'name': '𝑪𝒆𝒖𝒄𝒆𝒖 𝑶𝒔𝒉𝒊𝒏 𝑵𝑶 𝑪𝑶𝑵𝑽𝑶📌', 'id': '1178125294219091968'}, {'screen_name': 'MotoGP', 'name': 'MotoGP™🏁', 'id': '14082692'}]",,,,,id
