,date,tweet,username,tweet_clean
636,2022-03-20 19:38:50,"Gua ngarep kapan2 kalo udh kekumpul duit bs nonton langsung MotoGP, dan sekarang ad mandalika yg deket buat nonton MotoGP Jgn sampe MotoGP ga diadain di Indo lg gara2 kelakuan2 netizen &amp; buzzer2 indo yg ga tau tempat",Vinn___125,ngarep kapan kalo kumpul duit nonton langsung motogp sekarang mandalika deket buat nonton motogp sampe motogp diadain indo gara laku netizen buzzer indo tempat
637,2022-03-20 19:38:50,"Menurut gua lebih memalukan orang2 yg debat di akun resmi MotoGP tanpa tau apa2 soal MotoGP, bahkan liat race di mandalika ny aj egga. Itu akun resmi MotoGP, orang2 seluruh dunia mampir ke akun itu buat bahas MotoGP bukan pawang ujan bgsd! Ga tau tempat anj!",Vinn___125,turut lebih malu orang debat akun resmi motogp tanpa soal motogp bahkan liat race mandalika egga akun resmi motogp orang seluruh dunia mampir akun buat bahas motogp bukan pawang ujan bgsd tempat
638,2022-03-20 19:37:17,"@f1speed_indo kl bisa tahun depan moto gp di mandalika jgn bulan bulannya musim hujan, supaya ga ada lg pawang hujan, bikin malu dunia",Priadisamudra78,bisa tahun depan moto mandalika bulan bulan musim hujan supaya pawang hujan bikin malu dunia
639,2022-03-20 19:37:10,"@eflLnIkcuFecIN @MotoGP Gak meriang lah bong, kita juga dukung MotoGP mandalika, cuma yg kurang sedap gara2 mamak lu si Bani kendi salah mantra, untung gak tsunami pula bong",Eneos2017,meriang bong kita juga dukung motogp mandalika cuma kurang sedap gara mamak bani kendi salah mantra untung tsunami pula bong
640,2022-03-20 19:35:36,"Tak Kebagian Bus, Penonton MotoGP Tertinggal di Gate 1 Sirkuit Mandalika  https://t.co/XFLdChsB6A #Terbaru #berita #bus #gate #kebagian",idnlike_com,bagi tonton motogp tinggal gate sirkuit mandalika baru berita gate bagi
641,2022-03-20 19:35:24,@Eneos2017 @MotoGP Hahaha...  Kasian si borjong ini maksain.. 🤣 Meriang dia liat MotoGP Mandalika 🤣,eflLnIkcuFecIN,hahaha kasi borjong maksain meriang liat motogp mandalika
642,2022-03-20 19:34:19,#IndonesianGP memang paling beda hanya bisa ditemukan di Mandalika,YazidKalee21,indonesiangp memang paling beda hanya bisa temu mandalika
643,2022-03-20 19:32:57,"@eflLnIkcuFecIN @MotoGP Makanya Mamak dan bapak lu nonton MotoGP mandalika jgn sambil ngunyah ganja, apapun yg mamakmu lihat tampak asik sampe gledek pun dikira kembang api kan gila turunan lu hahaha",Eneos2017,makanya mamak bapak nonton motogp mandalika sambil ngunyah ganja apa mamak lihat tampak asik sampe gledek kira kembang gila turun hahaha
644,2022-03-20 19:32:47,"@MotoGP with spiritual, percaya atau tidak. Namun ini akan jadi kenangan yang melekat bagi semua orang yang berada di Mandalika untuk diceritakan dihari hari berikutnya. Bravo motoGP",bramtobing_id,with spiritual percaya atau tidak namun akan jadi kenang yang lekat bagi semua orang yang ada mandalika untuk cerita hari hari ikut bravo motogp
645,2022-03-20 19:31:20,@Relawananies @didienAZHAR Ini bukti hasil karya jkw yg ruaaar binasaaah nama Indonesia terkenal didunia krn mandalika,edo_macho,bukti hasil karya ruaaar binasaaah nama indonesia kenal dunia mandalika
646,2022-03-20 19:31:00,"Petir mnggelegar di mandalika n netijen2 yg nyinyir terindikasi kadrun mlh mnghina-dina sang pawang..  Asal tahu sj, petir yg menyambar itu berasal dr gundala putra petir, kapten halilintar, shazzam, thor, batara indra n zeus⚡n sdg santai di awan mnonton race motogp..😁",klenthing1,petir mnggelegar mandalika netijen nyinyir indikasi kadrun mnghina dina sang pawang asal tahu petir sambar asal gundala putra petir kapten halilintar shazzam thor batara indra zeus n santai awan mnonton race motogp
647,2022-03-20 19:28:36,@beebyuti Wow.. petir thor sampai ke mandalika!!,untitled567,petir thor sampai mandalika
648,2022-03-20 19:26:38,@LediKurniawan @jokowi jadi pawang hujan mau ngga soal gaji nanti jokowi yg bayar jokowi lagi membutuh kan 4 orang pawang hujan untuk jagain sirkuit mandalika biar ngga turun hujan untuk selama nya,alan09892662,jadi pawang hujan ngga soal gaji nanti jokowi bayar jokowi lagi butuh orang pawang hujan untuk jagain sirkuit mandalika biar ngga turun hujan untuk lama
649,2022-03-20 19:25:31,@maspiyuaja Cari info itu dari sumber yg datang ke Mandalika ... 🤭🤭🤭,emmii_bijak,cari info dari sumber datang mandalika
650,2022-03-20 19:25:04,@ridwanhr Ternyata cetek banget ridwan hanif koemtarnya soal motor GP. Gw kira jadi youtuber otomotif dah pintar dia . Ternyata komentarnya ga nyambung untuk motor GP mandalika. Nyesel pernah nonton youtube dia 🤣🤣,hendro_an,nyata cetek banget ridwan hanif koemtarnya soal motor kira jadi youtuber otomotif pintar nyata komentar nyambung untuk motor mandalika nyesel pernah nonton youtube
651,2022-03-20 19:24:00,"@SisiwittFrida Logika ilmiyahnya, bulan Maret-April itu saat paling hijau dan indah di Mandalika. Landscaoe mandalika sedang top form.  Kalo balapan diadakan saat kemarau, suasananya kering menguning dan panas banget. Justru saat yang paling kurang bagus buat mandalika. GITU AJA NGGAK PAHAM",iwanmahe,logika ilmiyahnya bulan maret april saat paling hijau indah mandalika landscaoe mandalika sedang form kalo balap ada saat kemarau suasana kering kuning panas banget justru saat yang paling kurang bagus buat mandalika gitu nggak paham
652,2022-03-20 19:22:10,"@aniesbaswedan @MotoGP Pak, setelah perhelatan #MotoGPMandalika apakah sholat di mesjid masih harus jaga jarak? Tadi di mandalika rame kan? 🤔",Bang_khEe,telah helat motogpmandalika apakah sholat mesjid masih harus jaga jarak tadi mandalika rame
653,2022-03-20 19:21:58,"Makanya ikut sedih juga, tadi liat berita pawang hujan di Mandalika dikatain ini dan itu, bukannya sudah lumrah dan seringkali kita jumpai ritual macam ini, jadi ya anggap sebagai pluralisme berbudaya ajalah, toh lo pada ga diminta percaya sama pawangnya kan. ✌️🙂",polisikorsel,makanya ikut sedih juga tadi liat berita pawang hujan mandalika dikatain bukan sudah lumrah seringkali kita jumpa ritual macam jadi anggap bagai pluralisme budaya aja pada minta percaya sama pawang
654,2022-03-20 19:20:53,@XLAxiata_Tbk XL Axiata Bersama Juara di Mandalika. #JadiLebihBaik #JuaradiMandalika,Xabire,axiata sama juara mandalika jadilebihbaik juaradimandalika
655,2022-03-20 19:20:43,@XLAxiata_Tbk XL Axiata Bersama Juara di Mandalika. #JadiLebihBaik #JuaradiMandalika,Xabire,axiata sama juara mandalika jadilebihbaik juaradimandalika
656,2022-03-20 19:20:31,Fabio Quartararo naik podium di MotoGP Mandalika dengan finis sebagai runner-up. Quartararo mengucapkan 'terima kasih Indonesia' atas segala dukungan kepadanya.  https://t.co/WrfwPGI8PK,detikcom,fabio quartararo naik podium motogp mandalika dengan finis bagai runner quartararo ucap terima kasih indonesia atas segala dukung kepada
657,2022-03-20 19:20:24,@XLAxiata_Tbk XL Axiata bersama juara di Mandalika #JadiLebihBaik  #JuaradiMandalika,Xabire,axiata sama juara mandalika jadilebihbaik juaradimandalika
658,2022-03-20 19:20:17,@XLAxiata_Tbk XL Axiata bersama juara di Mandalika #JadiLebihBaik  #JuaradiMandalika,Xabire,axiata sama juara mandalika jadilebihbaik juaradimandalika
659,2022-03-20 19:18:44,"Kemana perginya sang penendang sesajen, kenapa sesajen yg di Mandalika tidak ada yang tendang?? #SeriusNanya",Lumo06791986,mana pergi sang tendang sesajen kenapa sesajen mandalika tidak yang tendang seriusnanya
660,2022-03-20 19:16:58,@my___nadreeaa @BinSenator @seleb_berita Ini bukti hasil karya jkw yg ruaaar binasaaah nama Indonesia terkenal didunia krn mandalika good job pa'de trima ksh pa'de jasamu tdk akan dilupakan anak cucu,edo_macho,bukti hasil karya ruaaar binasaaah nama indonesia kenal dunia mandalika good trima jasa akan lupa anak cucu
661,2022-03-20 19:15:44,@maryanti_oemar Ini bukti hasil karya jkw yg ruaaar binasaaah nama Indonesia terkenal didunia krn mandalika good jpb pa'de trima ksh pa'de jasamu tdk akan terlupakan anak cucu,edo_macho,bukti hasil karya ruaaar binasaaah nama indonesia kenal dunia mandalika good trima jasa akan lupa anak cucu
662,2022-03-20 19:15:32,Dari Mandalika baru sadar bahwa pemodal itu adalah rakyat.,bebenyittalks,dari mandalika baru sadar bahwa modal adalah rakyat
663,2022-03-20 19:14:02,Balapan motogp di indonesia (stelah trakhir 1997) dan perdana di mandalika 20/3/2022  https://t.co/P4XmsRMADG,hasby_Tigabelas,balap motogp indonesia stelah trakhir perdana mandalika
